Urtea,AuzoKodea,Auzoa,Langabezia Tasa,Gizonen Langabezia Tasa,Emakumeen Langabezia Tasa,16-39 adinekoen langabezia tasa,40-64 adinekoen langabezia tasa,65+ adinekoen langabezia tasa,Bertakoen langabezia tasa,Atzerritarren langabezia tasa
2016,1,AIETE,9.70,8.80,10.70,13.80,7.70,1.90,9.50,14.30
2016,2,ALTZA,14.60,13.40,15.80,16.90,13.10,9.50,13.00,31.60
2016,3,AMARA BERRI,11.90,11.50,12.20,14.80,10.20,0.70,10.60,21.80
2016,4,ANTIGUO,9.40,9.30,9.60,13.40,7.70,1.90,8.90,16.40
2016,5,AÑORGA,10.80,9.30,12.40,13.90,9.10,0.00,10.10,24.50
2016,6,ATEGORRIETA-ULIA,10.40,8.60,12.30,14.30,8.60,3.60,9.70,18.80
2016,7,CENTRO,11.70,12.60,10.90,14.10,10.60,2.50,10.50,19.90
2016,8,EGIA,12.00,12.10,12.00,15.90,10.00,9.80,11.20,20.40
2016,9,GROS,12.10,12.60,11.60,15.00,10.60,4.40,11.10,20.00
2016,10,IBAETA,10.40,9.80,10.90,14.30,8.50,1.80,9.70,22.80
2016,11,IGELDO,9.80,9.20,10.50,10.30,9.70,0.00,9.70,11.80
2016,12,INTXAURRONDO,14.00,13.50,14.50,18.60,11.80,11.60,12.80,35.10
2016,13,LOIOLA,15.40,15.30,15.50,19.10,13.30,11.10,13.60,32.30
2016,14,MARTUTENE,13.40,12.60,14.20,17.30,11.80,0.00,12.60,23.50
2016,15,MIRACRUZ-BIDEBIETA,13.60,13.50,13.70,14.90,12.90,13.00,13.00,19.20
2016,16,MIRAMON-ZORROAGA,7.20,5.50,8.90,12.00,5.30,0.00,7.20,6.30
2016,17,ZUBIETA,7.00,2.90,10.80,14.30,4.70,0.00,7.20,0.00
2016,18,LANDARBASO,0.00,0.00,0.00,0.00,0.00,,0.00,
2017,1,AIETE,7.50,6.70,8.30,9.20,6.80,0.00,7.20,12.30
2017,2,ALTZA,11.30,9.70,13.00,12.00,11.00,1.90,10.20,24.10
2017,3,AMARA BERRI,9.20,8.90,9.50,10.30,8.60,1.90,8.70,14.50
2017,4,ANTIGUO,7.30,7.10,7.40,9.80,6.20,0.00,6.80,14.70
2017,5,AÑORGA,9.20,7.60,10.70,9.80,8.90,0.00,8.50,23.90
